service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
3113_400581,1,1,1,1,1,1,1,20260303,20260307
311_397363,1,1,1,1,1,1,1,20260614,20261212
3114_400582,1,1,1,1,1,1,1,20260308,20260406
3115_400583,1,1,1,1,1,1,1,20260407,20260417
3116_400584,1,1,1,1,1,1,1,20260418,20260613
3117_400585,1,1,1,1,1,1,1,20260614,20261212
3118_400586,1,1,1,1,1,1,1,20260303,20260307
3119_400587,1,1,1,1,1,1,1,20260308,20260412
3120_400588,1,1,1,1,1,1,1,20260315,20260320
3121_400589,1,1,1,1,1,1,1,20260413,20260504
3122_400590,1,1,1,1,1,1,1,20260422,20260422
3123_400591,1,1,1,1,1,1,1,20260505,20260613
312_397364,1,1,1,1,1,1,1,20260303,20260307
3124_400592,0,1,1,1,1,1,1,20260512,20260524
3125_400593,1,1,1,1,1,1,1,20260614,20261212
3126_400594,1,1,1,1,1,1,1,20260303,20260307
3127_400595,1,1,1,1,1,1,1,20260308,20260403
3128_400596,1,1,1,1,1,1,1,20260404,20260418
3129_400597,1,1,1,1,1,1,1,20260419,20260613
3130_400598,1,1,1,1,1,1,1,20260614,20261212
3131_400599,1,1,1,1,1,1,1,20260303,20260307
3132_400600,1,1,1,1,1,1,1,20260308,20260403
3133_400601,1,1,1,1,1,1,1,20260404,20260412
313_397365,1,1,1,1,1,1,1,20260308,20260613
3134_400602,1,1,1,1,1,1,1,20260413,20260515
3135_400603,1,1,1,1,1,1,1,20260516,20260613
3136_400604,1,1,1,1,1,1,1,20260614,20261212
3137_400605,1,1,1,1,1,1,1,20260303,20260307
3138_400606,1,1,1,1,1,1,1,20260308,20260403
3139_400607,1,1,1,1,1,1,1,20260404,20260412
31_397027,1,1,1,1,1,1,1,20260614,20261212
3140_400608,1,1,1,1,1,1,1,20260413,20260613
3141_400609,1,1,1,1,1,1,1,20260614,20261212
3142_400610,0,0,0,0,0,1,1,20260303,20260307
3143_400611,0,0,0,0,0,1,1,20260308,20260329
314_397366,1,1,1,1,1,1,1,20260614,20261212
3144_400612,0,0,0,0,0,1,1,20260404,20260412
3145_400613,0,0,0,0,0,1,1,20260418,20260613
3146_400614,0,0,0,0,0,1,1,20260614,20261212
3147_400615,1,1,1,1,1,0,0,20260303,20260306
3148_400616,1,1,1,1,1,0,0,20260309,20260403
3149_400617,1,1,1,1,1,1,1,20260407,20260410
3150_400618,1,1,1,1,1,0,0,20260413,20260612
3151_400619,1,1,1,1,1,0,0,20260615,20261211
3152_400620,1,1,1,1,1,1,1,20260614,20261212
3153_400621,1,1,1,1,1,1,1,20260614,20261212
315_397367,1,1,1,1,1,0,0,20260303,20260306
3154_400622,1,1,1,1,1,0,0,20260303,20260306
3155_400623,1,1,1,1,1,0,0,20260309,20260318
3156_400624,1,1,1,1,1,0,0,20260319,20260612
3157_400625,1,1,1,1,1,0,0,20260615,20261211
3158_400626,0,0,0,0,0,1,1,20260303,20260307
3159_400627,0,0,0,0,0,1,1,20260308,20260613
3160_400628,0,0,0,0,0,1,1,20260614,20261212
3161_400629,1,1,1,1,1,1,1,20260303,20260307
3162_400630,1,1,1,1,1,1,1,20260308,20260318
3163_400631,1,1,1,1,1,1,1,20260319,20260613
316_397368,1,1,1,1,1,0,0,20260309,20260612
3164_400632,1,1,1,1,1,1,1,20260614,20261212
3165_400633,0,0,0,0,0,1,1,20260303,20260307
3166_400634,0,0,0,0,0,1,1,20260308,20260613
3167_400635,0,0,0,0,0,1,1,20260614,20261212
3168_400636,1,1,1,1,1,0,0,20260303,20260306
3169_400637,1,1,1,1,1,0,0,20260309,20260318
3170_400638,1,1,1,1,1,0,0,20260319,20260612
3171_400639,1,1,1,1,1,0,0,20260615,20261211
3172_400640,1,1,1,1,1,1,1,20260303,20260307
3173_400641,1,1,1,1,1,1,1,20260308,20260318
317_397369,1,1,1,1,1,0,0,20260615,20261211
3174_400642,1,1,1,1,1,1,1,20260319,20260613
3175_400643,1,1,1,1,1,1,1,20260614,20261212
3176_400645,1,1,1,1,1,0,0,20260303,20260306
3177_400647,0,0,0,0,0,1,1,20260303,20260307
3178_400648,0,0,0,0,0,1,1,20260308,20260613
3179_400649,1,1,1,1,1,0,0,20260309,20260612
3180_400650,1,1,1,1,1,1,1,20260319,20260319
3181_400651,0,0,0,0,0,1,1,20260614,20261212
3182_400652,1,1,1,1,1,0,0,20260615,20261211
3183_400653,0,0,0,0,0,1,1,20260418,20260524
318_397370,0,0,0,0,0,1,1,20260303,20260307
3184_400654,0,0,0,0,0,1,1,20260530,20260607
3185_400655,1,1,1,1,1,1,1,20260613,20260613
3186_400656,0,0,0,0,0,1,1,20260614,20260927
3187_400657,1,1,1,1,1,0,0,20260303,20260306
3188_400658,1,1,1,1,1,0,0,20260309,20260318
3189_400659,1,1,1,1,1,0,0,20260319,20260612
3190_400660,1,1,1,1,1,0,0,20260615,20261211
3191_400661,0,0,0,0,0,1,1,20260303,20260307
3192_400662,0,0,0,0,0,1,1,20260308,20260613
3193_400663,0,0,0,0,0,1,1,20260614,20261212
319_397371,0,0,0,0,0,1,1,20260308,20260613
3194_400664,0,0,0,0,0,1,1,20260303,20260307
3195_400665,1,1,1,1,1,0,0,20260303,20260306
3196_400667,0,0,0,0,0,1,1,20260308,20260314
3197_400668,1,1,1,1,1,1,1,20260309,20260313
3198_400669,1,1,1,1,1,1,1,20260315,20260315
3199_400670,1,1,1,1,1,0,0,20260316,20260612
3200_400671,0,0,0,0,0,1,1,20260321,20260613
3201_400672,1,1,1,1,1,1,1,20260614,20261212
3202_400673,1,1,1,1,1,1,1,20260303,20260307
3203_400674,1,1,1,1,1,1,1,20260308,20260613
320_397372,0,0,0,0,0,1,1,20260614,20261212
3204_400675,1,1,1,1,1,1,1,20260614,20261212
3205_400676,1,1,1,1,1,0,0,20260303,20260306
3206_400677,1,1,1,1,1,0,0,20260309,20260612
3207_400678,1,1,1,1,1,1,1,20260614,20261212
3208_400679,0,0,0,0,0,1,1,20260303,20260307
3209_400680,0,0,0,0,0,1,1,20260308,20260613
3210_400681,1,1,1,1,1,0,0,20260615,20261211
3211_400682,1,1,1,1,1,1,1,20260303,20260307
3212_400683,1,1,1,1,1,1,1,20260308,20260613
3213_400684,0,0,0,0,0,1,1,20260614,20261212
321_397373,0,0,0,0,0,1,1,20260303,20260307
3214_400685,1,1,1,1,1,1,1,20260303,20260307
3215_400686,1,1,1,1,1,1,1,20260308,20260613
3216_400687,1,1,1,1,1,1,1,20260614,20261212
3217_400688,1,1,1,1,1,1,1,20260303,20260307
3218_400689,1,1,1,1,1,1,1,20260308,20260613
3219_400690,1,1,1,1,1,1,1,20260614,20261212
3220_400691,1,1,1,1,1,1,1,20260303,20260307
3221_400692,1,1,1,1,1,1,1,20260308,20260613
3222_400693,1,1,1,1,1,1,1,20260614,20261212
3223_400694,1,1,1,1,1,1,1,20260303,20260307
322_397374,0,0,0,0,0,1,1,20260308,20260613
3224_400695,1,1,1,1,1,1,1,20260308,20260613
3225_400696,1,1,1,1,1,1,1,20260614,20261212
3226_400697,1,1,1,1,1,1,1,20260303,20260307
3227_400698,1,1,1,1,1,1,1,20260308,20260613
3228_400699,1,1,1,1,1,1,1,20260614,20261212
